muscle_group,weekly_training_time_min,sessions_per_week,avg_intensity_pct_1rm,training_age_years,muscle_growth_pct_8wk
Biceps,157.1,4,56.7,3.9,3.773
Biceps,93.4,4,90.4,4.8,5.552
Biceps,173.1,4,83.4,3.6,4.282
Biceps,142.5,1,61.9,7.2,2.925
Biceps,27.9,5,58.7,10.2,3.258
Biceps,195.4,3,62.3,3.4,4.051
Biceps,154.6,2,94.2,5.0,3.959
Biceps,159.4,3,73.3,14.0,2.478
Biceps,34.3,5,86.4,0.7,8.156
Biceps,95.6,5,80.5,6.9,2.861
Biceps,80.5,5,77.9,10.7,3.534
Biceps,186.1,3,60.8,2.3,2.711
Biceps,132.3,4,92.8,0.7,7.456
Biceps,166.3,2,67.1,2.1,4.83
Biceps,94.2,4,78.1,13.8,3.802
Biceps,53.2,4,83.0,0.1,11.326
Biceps,115.4,2,81.0,2.8,5.746
Biceps,22.1,2,92.6,0.5,4.901
Biceps,167.2,1,60.9,1.7,5.057
Biceps,130.0,1,75.3,9.3,2.601
Biceps,154.0,3,71.2,3.6,4.67
Biceps,77.4,3,74.0,8.5,4.923
Biceps,194.4,1,59.8,8.9,1.889
Biceps,179.7,3,60.4,12.7,2.525
Biceps,157.9,4,66.1,0.1,8.273
Biceps,47.0,2,67.2,12.8,2.267
Biceps,98.7,2,72.1,9.3,4.16
Biceps,18.3,2,79.4,2.4,4.364
Biceps,39.3,3,80.4,11.6,3.096
Biceps,139.8,2,71.5,12.8,2.061
Biceps,151.5,4,71.4,3.8,4.174
Biceps,193.8,2,63.7,13.8,1.554
Biceps,71.9,3,78.5,6.8,5.201
Biceps,80.4,2,67.7,9.1,3.045
Biceps,99.2,1,56.4,14.8,2.569
Biceps,46.0,4,71.7,5.4,4.002
Biceps,34.7,2,74.0,12.2,2.512
Biceps,100.4,2,64.0,4.8,4.903
Biceps,53.1,4,77.9,12.0,5.107
Biceps,137.3,5,77.6,9.0,2.54
Biceps,93.1,4,83.1,3.2,8.145
Biceps,168.2,5,80.9,6.2,3.757
Biceps,143.1,5,81.1,4.8,4.967
Biceps,69.3,3,67.6,1.2,8.288
Biceps,168.1,4,86.5,0.4,7.168
Biceps,162.9,2,77.0,5.2,3.533
Biceps,83.6,3,72.3,0.3,11.138
Biceps,64.8,3,80.0,2.5,6.365
Biceps,139.7,5,69.4,10.9,3.745
Biceps,36.6,5,75.5,10.6,2.863
Biceps,48.0,3,84.5,11.1,3.272
Biceps,11.4,4,90.5,4.8,1.895
Biceps,159.5,2,91.8,13.4,2.351
Biceps,136.3,5,75.1,8.9,4.477
Biceps,144.0,3,75.8,1.9,5.803
Biceps,158.3,3,87.0,2.2,5.094
Biceps,97.2,4,67.6,10.4,2.937
Biceps,118.1,4,88.5,2.6,6.069
Biceps,36.6,1,74.8,7.6,2.27
Biceps,31.8,2,59.6,14.9,1.731
Biceps,137.0,1,57.9,0.1,6.795
Biceps,99.5,4,88.7,0.2,11.005
Biceps,117.4,1,57.2,14.9,3.547
Biceps,155.3,2,66.2,8.8,2.538
Biceps,130.6,3,68.4,1.9,7.736
Biceps,115.2,4,61.9,13.5,3.087
Biceps,116.2,3,67.6,13.2,2.731
Biceps,67.8,5,84.7,8.0,4.865
Biceps,15.9,5,55.6,9.3,2.192
Biceps,93.0,1,88.1,4.1,4.941
Biceps,50.8,5,89.3,0.8,7.765
Biceps,87.6,4,69.9,8.9,3.114
Biceps,172.1,4,61.1,4.4,2.968
Biceps,54.4,1,79.0,10.0,3.613
Biceps,21.1,4,59.8,12.5,2.092
Biceps,63.5,4,69.6,0.3,8.703
Biceps,65.8,3,93.3,8.9,3.952
Biceps,135.8,1,94.8,3.5,4.956
Biceps,115.8,3,85.9,13.1,2.923
Biceps,158.9,5,67.4,3.8,4.127
Biceps,136.2,4,82.5,9.2,4.306
Biceps,87.2,1,83.2,8.3,4.657
Biceps,164.7,5,70.5,5.9,4.156
Biceps,41.7,5,80.6,10.2,4.183
Biceps,14.3,1,55.4,10.9,1.994
Biceps,27.1,5,63.4,8.5,3.937
Biceps,147.2,3,76.0,11.4,3.096
Biceps,97.8,3,61.6,14.8,3.09
Biceps,40.6,3,61.6,6.3,4.679
Biceps,105.2,4,88.5,7.7,3.394
Biceps,38.9,5,94.6,0.2,9.139
Biceps,142.3,4,77.2,11.9,2.107
Biceps,94.8,5,88.6,7.8,3.677
Biceps,82.4,5,94.6,6.1,6.115
Biceps,67.3,1,60.7,1.4,7.719
Biceps,129.8,2,72.9,13.3,3.277
Biceps,78.7,4,70.7,5.9,5.066
Biceps,26.7,3,58.2,10.2,2.058
Biceps,32.4,1,85.2,2.2,4.763
Biceps,192.8,1,72.4,14.4,1.673
Biceps,182.6,3,73.8,2.7,4.538
